Date,App_Name,Category,Minutes_Used
2026-07-20,Instagram,Social Media,80
2026-07-20,WhatsApp,Social Media,45
2026-07-20,YouTube,Entertainment,95
2026-07-20,Spotify,Entertainment,40
2026-07-20,VS Code,Coding,180
2026-07-20,LeetCode,Coding,60
2026-07-20,Chrome,Education,70
2026-07-20,LinkedIn,Career,20

2026-07-21,Instagram,Social Media,90
2026-07-21,WhatsApp,Social Media,40
2026-07-21,YouTube,Entertainment,100
2026-07-21,Spotify,Entertainment,35
2026-07-21,VS Code,Coding,170
2026-07-21,LeetCode,Coding,75
2026-07-21,Chrome,Education,80
2026-07-21,LinkedIn,Career,25

2026-07-22,Instagram,Social Media,120
2026-07-22,WhatsApp,Social Media,55
2026-07-22,YouTube,Entertainment,130
2026-07-22,Spotify,Entertainment,50
2026-07-22,VS Code,Coding,140
2026-07-22,LeetCode,Coding,45
2026-07-22,Chrome,Education,60
2026-07-22,LinkedIn,Career,15

2026-07-23,Instagram,Social Media,70
2026-07-23,WhatsApp,Social Media,40
2026-07-23,YouTube,Entertainment,85
2026-07-23,Spotify,Entertainment,30
2026-07-23,VS Code,Coding,220
2026-07-23,LeetCode,Coding,90
2026-07-23,Chrome,Education,80
2026-07-23,LinkedIn,Career,25

2026-07-24,Instagram,Social Media,110
2026-07-24,WhatsApp,Social Media,50
2026-07-24,YouTube,Entertainment,120
2026-07-24,Spotify,Entertainment,45
2026-07-24,VS Code,Coding,160
2026-07-24,LeetCode,Coding,80
2026-07-24,Chrome,Education,90
2026-07-24,LinkedIn,Career,20

2026-07-25,Instagram,Social Media,130
2026-07-25,WhatsApp,Social Media,60
2026-07-25,YouTube,Entertainment,150
2026-07-25,Spotify,Entertainment,60
2026-07-25,VS Code,Coding,120
2026-07-25,LeetCode,Coding,30
2026-07-25,Chrome,Education,40
2026-07-25,LinkedIn,Career,15

2026-07-26,Instagram,Social Media,75
2026-07-26,WhatsApp,Social Media,35
2026-07-26,YouTube,Entertainment,90
2026-07-26,Spotify,Entertainment,35
2026-07-26,VS Code,Coding,240
2026-07-26,LeetCode,Coding,110
2026-07-26,Chrome,Education,95
2026-07-26,LinkedIn,Career,30

2026-07-27,Instagram,Social Media,95
2026-07-27,WhatsApp,Social Media,45
2026-07-27,YouTube,Entertainment,100
2026-07-27,Spotify,Entertainment,45
2026-07-27,VS Code,Coding,180
2026-07-27,LeetCode,Coding,90
2026-07-27,Chrome,Education,85
2026-07-27,LinkedIn,Career,25

2026-07-28,Instagram,Social Media,140
2026-07-28,WhatsApp,Social Media,70
2026-07-28,YouTube,Entertainment,160
2026-07-28,Spotify,Entertainment,55
2026-07-28,VS Code,Coding,90
2026-07-28,LeetCode,Coding,25
2026-07-28,Chrome,Education,35
2026-07-28,LinkedIn,Career,10

2026-07-29,Instagram,Social Media,85
2026-07-29,WhatsApp,Social Media,40
2026-07-29,YouTube,Entertainment,90
2026-07-29,Spotify,Entertainment,30
2026-07-29,VS Code,Coding,210
2026-07-29,LeetCode,Coding,100
2026-07-29,Chrome,Education,80
2026-07-29,LinkedIn,Career,20

2026-07-30,Instagram,Social Media,100
2026-07-30,WhatsApp,Social Media,45
2026-07-30,YouTube,Entertainment,110
2026-07-30,Spotify,Entertainment,40
2026-07-30,VS Code,Coding,170
2026-07-30,LeetCode,Coding,80
2026-07-30,Chrome,Education,90
2026-07-30,LinkedIn,Career,20

2026-07-31,Instagram,Social Media,65
2026-07-31,WhatsApp,Social Media,35
2026-07-31,YouTube,Entertainment,80
2026-07-31,Spotify,Entertainment,25
2026-07-31,VS Code,Coding,250
2026-07-31,LeetCode,Coding,120
2026-07-31,Chrome,Education,100
2026-07-31,LinkedIn,Career,30

2026-08-01,Instagram,Social Media,150
2026-08-01,WhatsApp,Social Media,70
2026-08-01,YouTube,Entertainment,180
2026-08-01,Spotify,Entertainment,60
2026-08-01,VS Code,Coding,80
2026-08-01,LeetCode,Coding,20
2026-08-01,Chrome,Education,40
2026-08-01,LinkedIn,Career,15

2026-08-02,Instagram,Social Media,70
2026-08-02,WhatsApp,Social Media,40
2026-08-02,YouTube,Entertainment,90
2026-08-02,Spotify,Entertainment,35
2026-08-02,VS Code,Coding,230
2026-08-02,LeetCode,Coding,110
2026-08-02,Chrome,Education,90
2026-08-02,LinkedIn,Career,25
